ID,Question,Difficulty,Topic,Role,Answer
149,Confounding variable là gì?,Khó,Statistics,Data Science,Biến gây nhiễu mối quan hệ giữa biến độc lập và phụ thuộc.
150,Sự khác nhau giữa parametric và non-parametric model?,Khó,Theory,Data Science,Parametric có số lượng tham số cố định (VD: LR). Non-parametric không giả định phân phối cố định (VD: KNN).
151,Bias trong dữ liệu là gì? Em xử lý thế nào?,Trung bình,Ethics,Data Science,"Bias là thiên lệch dữ liệu, có thể làm mô hình không công bằng. Cần kiểm tra và cân bằng lại."
152,Explain A/B testing.,Dễ,Experimentation,Data Science,So sánh hai phiên bản để chọn phiên bản có hiệu quả tốt hơn dựa trên dữ liệu thực nghiệm.
153,Khi nào dùng t-test? Điều kiện áp dụng?,Trung bình,Statistics,Data Science,"Dùng để so sánh trung bình 2 nhóm. Cần phân phối chuẩn, độc lập, phương sai tương đương."
154,Central Limit Theorem là gì?,Trung bình,Statistics,Data Science,"Cho dù phân phối gốc là gì, trung bình mẫu sẽ gần phân phối chuẩn nếu đủ lớn."
155,Thế nào là correlation vs causation?,Dễ,Statistics,Data Science,Correlation là mối quan hệ tuyến tính. Causation là quan hệ nguyên nhân – kết quả.
156,Thế nào là p-value?,Trung bình,Statistics,Data Science,Xác suất quan sát kết quả nếu giả thuyết gốc đúng. P nhỏ => bác bỏ H0.
157,Overfitting xảy ra trong trường hợp nào?,Dễ,Model Evaluation,Data Science,"Mô hình học quá sát dữ liệu train, không tổng quát được."
158,Underfitting là gì?,Dễ,Model Evaluation,Data Science,"Mô hình quá đơn giản, không học được quy luật."
159,Làm sao phát hiện outlier?,Trung bình,Data Cleaning,Data Science,"Dùng IQR, Z-score, hoặc visualization để phát hiện điểm bất thường."
160,Xử lý missing values như thế nào?,Dễ,Data Cleaning,Data Science,"Dùng mean, median, drop hoặc dùng mô hình học để dự đoán."
161,Em biết gì về Apache Spark?,Khó,Big Data,Data Science,"Là framework xử lý dữ liệu lớn phân tán, nhanh hơn Hadoop. Hỗ trợ batch và streaming."
162,Khi nào dùng Gaussian Naive Bayes?,Trung bình,ML Algorithms,Data Science,Khi dữ liệu liên tục và giả định phân phối chuẩn theo mỗi đặc trưng.
163,Bagging vs Boosting: em chọn gì cho dữ liệu nhiễu?,Khó,Ensemble,Data Science,Bagging tốt hơn vì giảm variance. Boosting có thể overfit nếu dữ liệu quá nhiễu.
164,Khi nào chọn Logistic Regression?,Dễ,Model Selection,Data Science,"Bài toán nhị phân, ít đặc trưng, dễ giải thích."
165,Khi nào dùng SVM?,Trung bình,Model Selection,Data Science,"Dữ liệu phân tách rõ, hoặc cần kernel trick để phân lớp phi tuyến."
166,K-means có nhược điểm gì?,Trung bình,Clustering,Data Science,"Nhạy cảm với khởi tạo, không tốt với cụm không hình cầu."
167,Làm sao đánh giá clustering?,Trung bình,Clustering,Data Science,"Dùng silhouette score, Davies-Bouldin Index hoặc so với ground truth."
168,Text vectorization là gì?,Trung bình,NLP,Data Science,"Biến văn bản thành vector số: TF-IDF, Word2Vec, BERT,..."
169,Thế nào là leaky ReLU?,Trung bình,Activation Function,Data Science,"Là biến thể của ReLU, cho phép gradient nhỏ khi đầu vào âm để tránh dead neuron."
170,Batch size ảnh hưởng thế nào đến training?,Trung bình,Training,Data Science,"Batch lớn: học ổn định, cần RAM nhiều. Batch nhỏ: nhanh hơn nhưng nhiễu hơn."
171,Cross entropy loss có nhược điểm gì?,Trung bình,Loss Function,Data Science,"Nhạy cảm với mẫu bị phân loại sai nặng, dễ overfit nếu dữ liệu nhiễu."
172,Khi nào dùng ensemble learning?,Trung bình,Model Tuning,Data Science,Khi muốn kết hợp nhiều mô hình để tăng độ chính xác và giảm overfitting.
173,Có thể dùng Linear Regression cho classification không?,Khó,Theory,Data Science,"Không nên vì dự đoán không nằm trong [0,1]. Dùng Logistic Regression phù hợp hơn."
174,"Thế nào là ""curse of dimensionality""?",Khó,Dimensionality,Data Science,"Số chiều cao làm dữ liệu loãng, giảm hiệu quả của mô hình."
175,Xử lý dữ liệu categorical như thế nào?,Trung bình,Preprocessing,Data Science,"Label encoding, one-hot, target encoding,..."
176,PCA có nhược điểm gì?,Trung bình,Dimensionality Reduction,Data Science,"Không giữ thông tin nhãn, chỉ tốt khi dữ liệu tuyến tính."
177,Accuracy có thể đánh lừa khi nào?,Trung bình,Evaluation,Data Science,"Khi dữ liệu mất cân bằng, accuracy cao không phản ánh mô hình tốt."
178,T-SNE phù hợp cho việc gì?,Dễ,Visualization,Data Science,Giảm chiều và trực quan hóa dữ liệu trong 2D/3D.
179,Dữ liệu thời gian có đặc điểm gì?,Trung bình,Time Series,Data Science,"Có tính tuần tự, phụ thuộc thời điểm, cần xử lý trễ (lag), xu hướng (trend)."
180,ARIMA là gì?,Khó,Time Series,Data Science,"Là mô hình dự báo chuỗi thời gian gồm phần tự hồi quy (AR), trung bình trượt (MA) và khác biệt hoá (I)."
181,"Sự khác biệt giữa ""=="" và ""is"" trong Python là gì?",Dễ,Programming,Software Engineer,"`==` so sánh giá trị của hai đối tượng, trong khi `is` kiểm tra xem hai biến có cùng trỏ đến một đối tượng trong bộ nhớ hay không."
182,"Giải thích khái niệm ""duck typing"" trong Python.",Trung bình,Programming,Software Engineer,"Duck typing là một khái niệm trong đó kiểu của một đối tượng được xác định bởi sự hiện diện của các phương thức và thuộc tính nhất định, thay vì kế thừa từ một lớp cụ thể."
183,Generator trong Python là gì và nó khác với list như thế nào?,Trung bình,Programming,Software Engineer,"Generator tạo ra các mục một cách lười biếng (lazy evaluation), tức là chỉ tạo khi cần thiết, giúp tiết kiệm bộ nhớ. List lưu trữ tất cả các mục trong bộ nhớ cùng một lúc."
184,Em hiểu gì về Global Interpreter Lock (GIL) trong Python?,Khó,Concurrency,Software Engineer,"GIL là một mutex chỉ cho phép một luồng thực thi bytecode Python tại một thời điểm, điều này có thể hạn chế hiệu suất của các ứng dụng đa luồng bị ràng buộc bởi CPU."
185,Decorator trong Python được sử dụng để làm gì?,Trung bình,Programming,Software Engineer,"Decorator là một hàm nhận một hàm khác làm đối số, thêm một số chức năng và trả về hàm đã được sửa đổi mà không thay đổi mã nguồn của hàm ban đầu."
186,"Mô tả sự khác biệt giữa `let`, `const`, và `var` trong JavaScript.",Dễ,Web Programming,Software Engineer,`var` có phạm vi hàm (function-scoped). `let` và `const` có phạm vi khối (block-scoped). `const` dùng để khai báo hằng số không thể gán lại giá trị.
187,Promise trong JavaScript là gì?,Trung bình,Web Programming,Software Engineer,Promise là một đối tượng đại diện cho việc hoàn thành (hoặc thất bại) cuối cùng của một hoạt động không đồng bộ.
188,"Em hãy giải thích khái niệm ""hoisting"" trong JavaScript.",Trung bình,Web Programming,Software Engineer,Hoisting là hành vi mặc định của JavaScript di chuyển tất cả các khai báo lên đầu phạm vi hiện tại trước khi thực thi mã.
189,Sự khác biệt giữa `localStorage` và `sessionStorage` là gì?,Dễ,Web Programming,Software Engineer,"`localStorage` lưu trữ dữ liệu không có ngày hết hạn. `sessionStorage` lưu trữ dữ liệu cho một phiên, dữ liệu sẽ bị xóa khi tab trình duyệt được đóng."
190,Arrow function trong ES6 khác với function thông thường như thế nào?,Trung bình,Web Programming,Software Engineer,Arrow function có cú pháp ngắn gọn hơn và không có `this` của riêng nó; nó kế thừa `this` từ phạm vi bao quanh.
191,Index trong cơ sở dữ liệu là gì và tại sao nó quan trọng?,Trung bình,Database,Software Engineer,Index là một cấu trúc dữ liệu đặc biệt giúp tăng tốc độ truy vấn dữ liệu. Nó cho phép công cụ cơ sở dữ liệu tìm thấy các hàng nhanh hơn.
192,Transaction trong SQL là gì?,Trung bình,Database,Cả hai,"Transaction là một chuỗi các thao tác được thực hiện như một đơn vị công việc logic duy nhất. Nó phải tuân thủ các thuộc tính ACID (Atomicity, Consistency, Isolation, Durability)."
193,Giải thích về `JOIN` trong SQL và kể tên một vài loại `JOIN` phổ biến.,Dễ,Database,Cả hai,"`JOIN` được sử dụng để kết hợp các hàng từ hai hoặc nhiều bảng dựa trên một cột liên quan. Các loại phổ biến bao gồm `INNER JOIN`, `LEFT JOIN`, `RIGHT JOIN`, và `FULL OUTER JOIN`."
194,API Gateway là gì?,Trung bình,System Design,Software Engineer,API Gateway là một điểm vào duy nhất cho tất cả các client. Nó xử lý các yêu cầu bằng cách định tuyến chúng đến các microservice thích hợp.
195,Load balancer hoạt động như thế nào?,Trung bình,System Design,Software Engineer,"Load balancer phân phối lưu lượng mạng đến qua một nhóm các máy chủ để đảm bảo không có máy chủ nào bị quá tải, cải thiện khả năng đáp ứng và tính sẵn sàng."
196,Microservices architecture là gì?,Trung bình,Software Design,Software Engineer,"Là một phương pháp phát triển phần mềm trong đó một ứng dụng được cấu trúc như một tập hợp các dịch vụ nhỏ, có thể triển khai độc lập."
197,Sự khác biệt giữa `PUT` và `PATCH` trong REST API?,Trung bình,Web & API,Software Engineer,`PUT` được sử dụng để cập nhật toàn bộ tài nguyên. `PATCH` được sử dụng để áp dụng các sửa đổi một phần cho tài nguyên.
198,Em hiểu gì về idempotency trong ngữ cảnh API?,Khó,Web & API,Software Engineer,"Một thao tác là idempotent nếu việc gọi nó nhiều lần có tác dụng tương tự như gọi nó một lần. `GET`, `PUT`, `DELETE` thường là idempotent."
199,Agile và Scrum khác nhau như thế nào?,Dễ,Methodology,Cả hai,"Agile là một triết lý phát triển lặp đi lặp lại. Scrum là một framework cụ thể để triển khai Agile, với các vai trò, sự kiện và tạo tác được xác định rõ."
200,User story trong Agile là gì?,Dễ,Methodology,Cả hai,"Là một lời giải thích không chính thức, bằng ngôn ngữ tự nhiên về một tính năng phần mềm được viết từ góc độ của người dùng cuối hoặc khách hàng."
201,Refactoring là gì? Tại sao chúng ta cần nó?,Trung bình,Software Development,Software Engineer,"Refactoring là quá trình tái cấu trúc mã hiện có mà không thay đổi hành vi bên ngoài của nó. Nó cải thiện khả năng đọc, giảm độ phức tạp và dễ bảo trì hơn."
202,Code review là gì và mục đích của nó là gì?,Dễ,Software Development,Cả hai,"Code review là việc kiểm tra mã nguồn một cách có hệ thống bởi người khác. Mục đích là để tìm lỗi, cải thiện chất lượng mã và chia sẻ kiến thức."
203,Sự khác biệt giữa một framework và một library là gì?,Trung bình,Programming Fundamentals,Software Engineer,Một library là một tập hợp các chức năng mà ứng dụng của bạn có thể gọi. Một framework cung cấp một cấu trúc và ứng dụng của bạn điền vào các chi tiết.
204,"Thế nào là một ""pure function""?",Trung bình,Functional Programming,Software Engineer,Một pure function là một hàm luôn trả về cùng một kết quả cho cùng một đối số và không có tác dụng phụ quan sát được.
205,Em có biết về nguyên tắc DRY không?,Dễ,Software Design,Software Engineer,DRY (Don't Repeat Yourself) là một nguyên tắc phát triển phần mềm nhằm giảm sự lặp lại của thông tin dưới mọi hình thức.
206,Binary search hoạt động như thế nào?,Dễ,Algorithms,Software Engineer,"Binary search là một thuật toán tìm kiếm hiệu quả hoạt động trên các mảng đã được sắp xếp. Nó liên tục chia đôi phần của danh sách có thể chứa mục, cho đến khi thu hẹp các vị trí có thể xuống chỉ còn một."
207,Sự khác biệt giữa `process` và `thread` là gì?,Trung bình,Operating System,Software Engineer,Một process là một chương trình đang được thực thi. Một thread là một đơn vị thực thi nhỏ nhất trong một process. Nhiều thread có thể tồn tại trong cùng một process và chia sẻ tài nguyên.
208,`git rebase` và `git merge` khác nhau như thế nào?,Khó,Version Control,Cả hai,`git merge` tạo một commit hợp nhất mới. `git rebase` viết lại lịch sử commit bằng cách đặt các commit của bạn lên trên nhánh khác.
209,Callback hell là gì và làm thế nào để tránh nó?,Trung bình,Web Programming,Software Engineer,"Callback hell là tình trạng các hàm callback được lồng vào nhau nhiều lớp, làm cho mã khó đọc và bảo trì. Có thể tránh bằng cách sử dụng Promises hoặc `async/await`."
210,Em hiểu gì về `package.json` trong một dự án Node.js?,Dễ,Web Development,Software Engineer,"`package.json` chứa siêu dữ liệu về dự án (tên, phiên bản,...) và liệt kê các gói phụ thuộc cần thiết cho dự án."
211,GraphQL là gì?,Trung bình,Web & API,Software Engineer,"GraphQL là một ngôn ngữ truy vấn cho API, cho phép client yêu cầu chính xác dữ liệu họ cần, không hơn không kém."
212,Sự khác biệt giữa `npm` và `yarn` là gì?,Dễ,Tools,Software Engineer,"Cả hai đều là trình quản lý gói cho JavaScript. Yarn được tạo ra để giải quyết các vấn đề về hiệu suất và bảo mật mà npm gặp phải, mặc dù npm đã cải thiện đáng kể."
213,Em có thể giải thích về DNS không?,Trung bình,Computer Network,Software Engineer,Hệ thống tên miền (DNS) dịch các tên miền mà con người có thể đọc được (ví dụ: www.google.com) thành các địa chỉ IP mà máy tính có thể đọc được.
214,Latency và Bandwidth khác nhau như thế nào?,Trung bình,Computer Network,Software Engineer,Latency là thời gian trễ để dữ liệu đi từ điểm này đến điểm khác. Bandwidth là lượng dữ liệu tối đa có thể được truyền qua một kết nối trong một khoảng thời gian nhất định.
215,Sự khác biệt giữa `Authentication` và `Authorization` là gì?,Dễ,Security,Cả hai,Authentication là quá trình xác minh bạn là ai. Authorization là quá trình xác minh những gì bạn được phép làm.
216,Precision-Recall tradeoff là gì?,Trung bình,Model Evaluation,Data Science,"Là sự cân bằng nghịch đảo giữa precision và recall. Khi tăng precision, recall thường giảm và ngược lại. Việc lựa chọn ngưỡng phụ thuộc vào bài toán cụ thể."
217,Giải thích thuật toán K-Nearest Neighbors (KNN).,Dễ,ML Algorithms,Data Science,"KNN là một thuật toán học có giám sát. Để phân loại một điểm dữ liệu mới, nó xem xét K điểm dữ liệu gần nhất trong tập huấn luyện và gán nhãn dựa trên đa số."
218,Thế nào là một feature vector?,Dễ,Data Preparation,Data Science,Một feature vector là một vector n-chiều chứa các đặc trưng số đại diện cho một đối tượng. Nó là đầu vào cho các mô hình học máy.
219,Sự khác biệt giữa `loc` và `iloc` trong Pandas?,Dễ,Tools,Data Science,`loc` lựa chọn dữ liệu dựa trên nhãn của hàng và cột. `iloc` lựa chọn dữ liệu dựa trên vị trí số nguyên của chúng.
220,"Tại sao việc chia tập dữ liệu thành train, validation, và test lại quan trọng?",Dễ,Model Evaluation,Data Science,Tập train dùng để huấn luyện mô hình. Tập validation dùng để tinh chỉnh siêu tham số và tránh overfitting. Tập test dùng để đánh giá hiệu suất cuối cùng của mô hình trên dữ liệu chưa từng thấy.
221,Giải thích thuật toán Naive Bayes.,Trung bình,ML Algorithms,Data Science,"Naive Bayes là một thuật toán phân loại dựa trên định lý Bayes với giả định ""ngây thơ"" về sự độc lập có điều kiện giữa các đặc trưng."
222,AUC-ROC curve có ý nghĩa gì?,Trung bình,Model Evaluation,Data Science,Đường cong ROC thể hiện khả năng của một mô hình phân loại trong việc phân biệt giữa các lớp ở các ngưỡng khác nhau. AUC (Area Under the Curve) là thước đo tổng thể về hiệu suất này.
223,Em sẽ xử lý một tập dữ liệu mất cân bằng như thế nào?,Trung bình,Data Imputation,Data Science,"Các phương pháp bao gồm: thu thập thêm dữ liệu, sử dụng các thước đo đánh giá phù hợp (F1-score, AUC), oversampling lớp thiểu số (SMOTE), hoặc undersampling lớp đa số."
224,Giải thích về `GROUP BY` trong SQL.,Dễ,Database,Data Science,"`GROUP BY` nhóm các hàng có cùng giá trị trong các cột được chỉ định thành các hàng tóm tắt. Nó thường được sử dụng với các hàm tổng hợp như `COUNT`, `MAX`, `MIN`, `SUM`, `AVG`."
225,Em hiểu gì về learning rate?,Dễ,Optimization,Data Science,Learning rate là một siêu tham số kiểm soát mức độ chúng ta điều chỉnh trọng số của mô hình đối với sai số ước tính mỗi khi trọng số được cập nhật.
226,Sự khác biệt giữa `model.fit()` và `model.predict()` trong scikit-learn?,Dễ,ML Tooling,Data Science,`model.fit()` được sử dụng để huấn luyện mô hình trên dữ liệu huấn luyện. `model.predict()` được sử dụng để đưa ra dự đoán trên dữ liệu mới.
227,"Thế nào là ""feature scaling""? Tại sao nó cần thiết?",Dễ,Preprocessing,Data Science,Feature scaling là một phương pháp để chuẩn hóa phạm vi của các biến độc lập. Nó cần thiết vì các mô hình như SVM và KNN nhạy cảm với thang đo của các đặc trưng.
228,Em có thể giải thích về A/B testing không?,Dễ,Experimentation,Data Science,A/B testing là một phương pháp so sánh hai phiên bản của một trang web hoặc ứng dụng để xác định phiên bản nào hoạt động tốt hơn.
229,P-value có ý nghĩa gì trong kiểm định giả thuyết?,Trung bình,Statistics,Data Science,"P-value là xác suất quan sát được kết quả ít nhất cũng cực đoan như kết quả thực tế, giả sử rằng giả thuyết không (null hypothesis) là đúng. P-value nhỏ cho thấy bằng chứng chống lại giả thuyết không."
230,Sự khác biệt giữa `correlation` và `causation`?,Dễ,Statistics,Data Science,Correlation là mối quan hệ thống kê giữa hai biến. Causation có nghĩa là một sự kiện là kết quả của sự xuất hiện của sự kiện kia (tức là quan hệ nhân quả). Tương quan không bao hàm quan hệ nhân quả.
231,Outlier là gì và làm thế nào để xử lý chúng?,Dễ,Data Cleaning,Data Science,"Outlier là một điểm dữ liệu khác biệt đáng kể so với các quan sát khác. Chúng có thể được xử lý bằng cách loại bỏ, biến đổi (ví dụ: log transform), hoặc sử dụng các mô hình mạnh mẽ với outlier."
232,Giải thích về `Entropy` và `Information Gain` trong cây quyết định.,Khó,Algorithms,Data Science,Entropy đo lường sự không chắc chắn hoặc ngẫu nhiên trong dữ liệu. Information Gain là sự giảm entropy sau khi một tập dữ liệu được phân chia trên một thuộc tính. Cây quyết định sử dụng Information Gain để chọn thuộc tính phân chia tốt nhất.
233,Deep Learning là gì?,Dễ,Deep Learning,Data Science,Deep Learning là một lĩnh vực con của học máy dựa trên các mạng nơ-ron nhân tạo với nhiều lớp (mạng nơ-ron sâu).
234,Em hiểu gì về activation function trong mạng nơ-ron?,Dễ,Deep Learning,Data Science,"Hàm kích hoạt quyết định xem một nơ-ron có nên được kích hoạt hay không. Nó đưa tính phi tuyến vào đầu ra của một nơ-ron, điều này rất quan trọng để học các mẫu phức tạp."
235,Thế nào là một `epoch` trong huấn luyện mô hình?,Dễ,Training Concepts,Data Science,Một epoch có nghĩa là mỗi mẫu trong tập dữ liệu huấn luyện đã có cơ hội cập nhật các tham số bên trong của mô hình một lần.
236,"Sự khác nhau giữa `supervised`, `unsupervised`, và `reinforcement learning`?",Dễ,ML Types,Data Science,Học có giám sát học từ dữ liệu được gán nhãn. Học không giám sát tìm thấy các mẫu trong dữ liệu không được gán nhãn. Học tăng cường học cách hành động dựa trên phần thưởng và hình phạt.
237,"Thế nào là ""dimensionality reduction""?",Trung bình,Dimensionality Reduction,Data Science,"Là quá trình giảm số lượng các biến ngẫu nhiên được xem xét, bằng cách thu được một tập hợp các biến chính."
238,Em có thể kể tên một vài thư viện Python phổ biến cho Data Science không?,Dễ,Tools,Data Science,"NumPy (tính toán số), Pandas (xử lý dữ liệu), Matplotlib/Seaborn (trực quan hóa), Scikit-learn (học máy), TensorFlow/PyTorch (học sâu)."
239,Em sẽ đánh giá một mô hình phân cụm (clustering) như thế nào?,Trung bình,Clustering,Data Science,"Nếu có nhãn thực tế, có thể sử dụng Adjusted Rand Index. Nếu không, có thể sử dụng các thước đo nội tại như Silhouette Score hoặc Davies-Bouldin Index."
240,Time series data là gì?,Dễ,Time Series,Data Science,Là một chuỗi các điểm dữ liệu được lập chỉ mục theo thứ tự thời gian. Nó thường được thu thập tại các điểm thời gian kế tiếp nhau.
241,Làm thế nào để xử lý `missing values` trong dữ liệu?,Dễ,Data Cleaning,Data Science,"Các phương pháp bao gồm: xóa các hàng/cột bị thiếu, điền giá trị trung bình/trung vị/mode, hoặc sử dụng các thuật toán nâng cao hơn để dự đoán các giá trị bị thiếu."
242,Em hiểu gì về `Natural Language Processing` (NLP)?,Dễ,NLP,Data Science,"NLP là một lĩnh vực của trí tuệ nhân tạo giúp máy tính hiểu, diễn giải và tạo ra ngôn ngữ của con người."
243,Bag-of-Words (BoW) model là gì?,Trung bình,NLP,Data Science,BoW là một cách biểu diễn văn bản bỏ qua ngữ pháp và thứ tự từ nhưng giữ lại số lần xuất hiện của từ.
244,Em có thể giải thích về `Gradient Boosting` không?,Khó,Ensemble Learning,Data Science,"Gradient Boosting xây dựng các mô hình một cách tuần tự, trong đó mỗi mô hình mới sửa lỗi của mô hình trước đó. Nó là một kỹ thuật ensemble learning mạnh mẽ."
245,Sự khác biệt giữa `Standardization` và `Normalization` là gì?,Trung bình,Preprocessing,Data Science,"Normalization thường co giãn dữ liệu vào một phạm vi [0, 1]. Standardization biến đổi dữ liệu để có giá trị trung bình là 0 và độ lệch chuẩn là 1."
246,`Lambda function` trong Python là gì?,Dễ,Programming,Data Science,"Là một hàm ẩn danh nhỏ. Nó có thể có bất kỳ số lượng đối số nào, nhưng chỉ có thể có một biểu thức."
247,Thế nào là `API`?,Dễ,Deployment,Data Science,API (Giao diện lập trình ứng dụng) là một tập hợp các quy tắc cho phép các chương trình phần mềm khác nhau giao tiếp với nhau.
248,Mục tiêu của A/B testing là gì?,Dễ,Experimentation,Data Science,Mục tiêu chính là để xác định xem một thay đổi mới có cải thiện một thước đo được xác định trước hay không (ví dụ: tỷ lệ chuyển đổi).
249,Kể tên một vài loại biểu đồ bạn sẽ sử dụng để trực quan hóa dữ liệu.,Dễ,Data Visualization,Data Science,"Biểu đồ thanh (so sánh các danh mục), biểu đồ đường (dữ liệu chuỗi thời gian), biểu đồ phân tán (mối quan hệ giữa hai biến), biểu đồ tròn (thành phần), và histogram (phân phối)."
250,Em hiểu gì về `Big Data`?,Dễ,Big Data,Data Science,"Big Data đề cập đến các tập dữ liệu cực lớn và phức tạp mà các ứng dụng xử lý dữ liệu truyền thống không thể xử lý. Nó thường được đặc trưng bởi 3V: Volume (khối lượng), Velocity (tốc độ), và Variety (đa dạng)."
251,Em sẽ làm gì nếu mô hình của bạn hoạt động tốt trên dữ liệu huấn luyện nhưng kém trên dữ liệu thử nghiệm?,Dễ,Model Evaluation,Data Science,"Đây là một dấu hiệu của overfitting. Các giải pháp bao gồm: sử dụng nhiều dữ liệu hơn, đơn giản hóa mô hình, sử dụng kỹ thuật regularization, hoặc dropout."
252,SQL `window function` là gì?,Khó,Database,Data Science,"Window function thực hiện một phép tính trên một tập hợp các hàng của bảng có liên quan đến hàng hiện tại. Không giống như các hàm tổng hợp, nó không làm cho các hàng được nhóm lại thành một hàng đầu ra duy nhất."
253,Collinearity trong hồi quy là gì?,Trung bình,Statistical Modeling,Data Science,Collinearity (hay multicollinearity) xảy ra khi hai hoặc nhiều biến độc lập trong một mô hình hồi quy có mối tương quan cao với nhau. Điều này có thể làm cho việc giải thích mô hình trở nên khó khăn.
254,Em có thể giải thích về `ETL` process không?,Trung bình,Data Pipeline,Data Science,"ETL là viết tắt của Extract, Transform, Load. Đó là một quá trình tích hợp dữ liệu trong đó dữ liệu được thu thập (extract) từ các nguồn khác nhau, chuyển đổi (transform) thành một định dạng phù hợp, và sau đó được tải (load) vào một kho dữ liệu."
255,Em sẽ chọn một mô hình dựa trên tiêu chí nào?,Trung bình,Model Selection,Data Science,"Các tiêu chí bao gồm: độ chính xác, khả năng diễn giải, độ phức tạp, khả năng mở rộng, và thời gian huấn luyện, tùy thuộc vào yêu cầu của bài toán."
256,Điểm mạnh lớn nhất của bạn là gì?,Dễ,Soft Skills,Cả hai,"Hãy chọn một điểm mạnh liên quan đến công việc (ví dụ: ham học hỏi, khả năng giải quyết vấn đề, kỹ năng giao tiếp) và đưa ra một ví dụ cụ thể."
257,Điểm yếu lớn nhất của bạn là gì?,Dễ,Soft Skills,Cả hai,"Chọn một điểm yếu thực sự nhưng không phải là yếu tố cốt lõi của công việc. Quan trọng hơn, hãy cho thấy bạn đang làm gì để cải thiện nó."
258,Mục tiêu nghề nghiệp của bạn trong 5 năm tới là gì?,Dễ,Soft Skills,Cả hai,Câu trả lời nên cho thấy sự tham vọng nhưng cũng thực tế và phù hợp với con đường sự nghiệp mà vị trí này mang lại.
259,Mô tả một lần bạn gặp khó khăn trong một dự án và cách bạn vượt qua nó.,Dễ,Soft Skills,Cả hai,"Sử dụng phương pháp STAR (Situation, Task, Action, Result) để cấu trúc câu trả lời của bạn một cách rõ ràng."
260,Bạn thích làm việc độc lập hay làm việc nhóm?,Dễ,Soft Skills,Cả hai,Một câu trả lời tốt cho thấy bạn có thể làm việc hiệu quả trong cả hai môi trường và nhận ra giá trị của cả hai.
261,Làm thế nào để bạn cập nhật kiến thức về công nghệ mới?,Dễ,Soft Skills,Cả hai,"Đề cập đến các blog công nghệ, tài liệu chính thức, các khóa học trực tuyến, hội thảo, hoặc các dự án cá nhân."
262,Mô tả một lần bạn không đồng ý với một thành viên trong nhóm. Bạn đã xử lý nó như thế nào?,Dễ,Teamwork,Cả hai,"Tập trung vào việc lắng nghe, giao tiếp một cách tôn trọng và tìm kiếm một giải pháp chung hoặc thỏa hiệp."
263,Điều gì thúc đẩy bạn?,Dễ,Soft Skills,Cả hai,"Liên kết động lực của bạn với các khía cạnh của công việc, chẳng hạn như giải quyết các vấn đề thách thức, học hỏi những điều mới, hoặc tạo ra tác động."
264,Tại sao bạn muốn làm việc cho công ty chúng tôi?,Dễ,Soft Skills,Cả hai,"Nghiên cứu về công ty và đề cập đến các khía cạnh cụ thể mà bạn ngưỡng mộ, chẳng hạn như văn hóa, sản phẩm, hoặc sứ mệnh của họ."
265,Bạn sẽ làm gì trong 30 ngày đầu tiên nếu được nhận?,Dễ,Soft Skills,Cả hai,"Câu trả lời của bạn nên cho thấy sự chủ động, tập trung vào việc học hỏi về công ty, team, và các công cụ, cũng như bắt đầu đóng góp một cách nhanh chóng."
266,Mô tả một dự án mà bạn tự hào nhất.,Dễ,Experience,Cả hai,Chọn một dự án thể hiện được các kỹ năng kỹ thuật và kỹ năng mềm của bạn. Giải thích vai trò của bạn và kết quả đạt được.
267,Làm thế nào để bạn xử lý áp lực hoặc các deadline gấp?,Dễ,Soft Skills,Cả hai,"Đề cập đến các kỹ năng quản lý thời gian, chẳng hạn như ưu tiên công việc, chia nhỏ các nhiệm vụ, và tập trung vào những gì quan trọng nhất."
268,Bạn định nghĩa thành công như thế nào?,Dễ,Soft Skills,Cả hai,"Câu trả lời có thể liên quan đến việc đạt được mục tiêu, học hỏi và phát triển, hoặc đóng góp vào thành công của nhóm và công ty."
269,Làm thế nào để bạn nhận phản hồi mang tính xây dựng?,Dễ,Soft Skills,Cả hai,"Thể hiện rằng bạn xem phản hồi là một cơ hội để phát triển, lắng nghe một cách cởi mở và không phòng thủ."
270,Bạn có câu hỏi nào cho chúng tôi không?,Dễ,Soft Skills,Cả hai,"Luôn chuẩn bị một vài câu hỏi sâu sắc về vai trò, nhóm, văn hóa công ty, hoặc các thách thức. Điều này cho thấy sự quan tâm thực sự của bạn."
271,Mô tả một lần bạn phải học một kỹ năng mới một cách nhanh chóng.,Dễ,Self-learning,Cả hai,"Giải thích tình huống, cách bạn tiếp cận việc học (ví dụ: tài liệu, hướng dẫn, thực hành), và kết quả."
272,Sở thích của bạn ngoài công việc là gì?,Dễ,Soft Skills,Cả hai,Câu hỏi này giúp người phỏng vấn hiểu thêm về con người bạn. Hãy trung thực và chia sẻ những gì bạn đam mê.
273,Bạn đối phó với sự mơ hồ như thế nào?,Dễ,Soft Skills,Cả hai,"Thể hiện khả năng đặt câu hỏi để làm rõ, chia nhỏ các vấn đề phức tạp, và cảm thấy thoải mái khi thực hiện các bước nhỏ để tiến về phía trước."
274,Mô tả một lần bạn mắc sai lầm trong công việc và bạn đã học được gì từ nó.,Dễ,Soft Skills,Cả hai,"Thể hiện sự trung thực, trách nhiệm và quan trọng nhất là khả năng học hỏi từ những sai lầm để không lặp lại chúng."
